Id,Label,Timeset,Class,Size
5ac174f238d8401ede5dde1c0dd067b9,wrpj64,,Interface,10
a15259040c440dff9cdda8d21bc1ee5f,wrpj129,,Interface,10
4f5003b686660a30e5dbc797d61036ed,wrpj320,,Interface,10
78334c8eb4e38a2db6728eeab7da606a,wrpj384,,Interface,10
3475d452793892ffe5606025647a7cfd,wrpj448,,Interface,10
26bbd6810c2b5e64c79cf9b4744e2f90,WOK-FW1_PROD_PERIMETER_VIRTUAL-ROUTER,,Vs,120
3bc4fd0def4e91302965e0b6cd0749df,bond1.1313,,Interface,10
8c40550eff2cfb5ab0911a22b01fadd6,WOK-FW1_PROD_GHO_VS,,Vs,120
7310db378042ed6480639a5547f0a3da,bond0.480,,Interface,10
7c4611eb840e29915acc5c51adcb51a8,10.255.80.0/24,,Network,40
192c61d184cc393b49fb63351cbadde4,bond0.772,,Interface,10
8ffd06268361f2a39a3c1836e2ebe8d7,10.255.100.128/30,,Network,40
34181220361f37ee6a850dfd0cc123ac,bond0.1342,,Interface,10
b0e48f0576ef20e1a97609e5e7484a3d,10.66.52.48/29,,Network,40
a282b947b12638e1026c07ee6b78deb0,bond0.1343,,Interface,10
4127f1806f31b2308624c6ee2587531d,10.66.52.56/29,,Network,40
ba2118c90d7e9544e5cdd57edf02b9d1,bond0.1344,,Interface,10
e407e729d9866aa0e066bca85c38e76f,10.66.52.64/29,,Network,40
0952e20801a54a39d7df750cb2fdf8d5,bond0.1354,,Interface,10
655ed5abb181818cab59ee4111e3466d,10.66.52.224/29,,Network,40
f23aa0c4429a51cc8007c619cd165f0f,bond0.1380,,Interface,10
fd03abe74ba12f0f3954ac4efb4878cd,10.66.52.72/29,,Network,40
0bbfbaa065895c68878f5676c20c6d10,bond0.1381,,Interface,10
f2681243857ae4df71a34bc65d0559bf,10.66.52.80/29,,Network,40
3b469f4fa3280585d1ceb5f4b88d83c1,bond0.1382,,Interface,10
de4122a4ea8c5bf3456129ea7728c503,10.66.52.88/29,,Network,40
239f7e2024a2b9d6e6f2f4a73c916c05,bond0.1383,,Interface,10
cba109607fda92aae55d075e84226e54,10.66.52.96/29,,Network,40
4559807da31924aa41197027f6d88263,bond0.1385,,Interface,10
43f93981ec6757790ef10a06c1f9cc6c,10.66.52.112/29,,Network,40
6673e569405c279ec6e4a7d26e801845,bond0.1386,,Interface,10
8b0b4c2d3c619799afeae8a3d8ea5eff,10.66.52.120/29,,Network,40
aaf8653eb67eb4e08e476f3f07defdb3,bond0.1387,,Interface,10
1e67600d3373c0255e5c318f1412001c,10.66.52.128/29,,Network,40
e76e36a3b2baee746e170201a1210028,bond0.1388,,Interface,10
59bb324a97ab555490584555d2e6d8a9,10.66.52.136/29,,Network,40
7e63efc41ca30055de31232af7b17d3c,bond0.1389,,Interface,10
a6524b4fd6add0bfb25b6cffb9a5f87b,10.66.52.144/29,,Network,40
