Source,Target,Type,Id,Label,timeset,Weight
2116a00cd95545d6da6acd17144d9974,ae158ac0197851dbe5476c597f636d21,Undirected,57,,,1
47aad5e4fd388041033708ee44219b08,0113430b0f045de18a60ab2135c747e0,Undirected,58,,,1
056ff478ec7664f194902b55e3d515bd,434148d456a29663118e86b0e64f9fcf,Undirected,59,,,1
947fc73699f2508de7a4f666799adf5d,0113430b0f045de18a60ab2135c747e0,Undirected,60,,,1
b17cfcb9bc842ee25fca6eafe8dda102,0113430b0f045de18a60ab2135c747e0,Undirected,61,,,1
e4a5d56d0bdf1c6c04a61364276f4a0b,0113430b0f045de18a60ab2135c747e0,Undirected,62,,,1
b03003fb926691ecb81a1a5cecfea0b1,0113430b0f045de18a60ab2135c747e0,Undirected,63,,,1
6109e8523296cc91c6ced78420d46608,0113430b0f045de18a60ab2135c747e0,Undirected,64,,,1
93719619d73dddf5d622f8f61e4a0af9,176124e10aed06c3fc4e30fd2602191c,Undirected,65,,,1
9ef1373632409dd6826113a1cb41c202,0113430b0f045de18a60ab2135c747e0,Undirected,66,,,1
44cbaeda1b118f3e6c34f73d5bc8e5ca,0113430b0f045de18a60ab2135c747e0,Undirected,67,,,1
c6134515aff7dad31cb779c778c8b04c,0113430b0f045de18a60ab2135c747e0,Undirected,68,,,1
14d47b3aa6bd99004a81b38003cd4471,0113430b0f045de18a60ab2135c747e0,Undirected,69,,,1
35383539425cdaeb40f556ce697fc40d,0113430b0f045de18a60ab2135c747e0,Undirected,70,,,1
50ad9fc1b07446a26b9fe8d26ef34ded,0113430b0f045de18a60ab2135c747e0,Undirected,71,,,1
37636c5c7dd1e4a7bd60fb65d539c336,0113430b0f045de18a60ab2135c747e0,Undirected,72,,,1
9534cfde25d7f3f57259725541576ed7,2bdc26138771e3d7e8bb5698d3772360,Undirected,73,,,1
dc86a81b950de5c9c7ec17aece21a528,c0f15b0a7c2ae232891091b1405e9308,Undirected,74,,,1
123cea47fcf91bb60bf738a7fc032444,c0f15b0a7c2ae232891091b1405e9308,Undirected,75,,,1
743cdd99b63a775683feea4ae3afe9d4,c20ee5c651b72041add716ed06d4c292,Undirected,76,,,1
0ebbdb1aa5d63e19ea7025e7cec44022,26c902024ef104d0336ff5713b4a1e52,Undirected,77,,,1
1ed1e1f1d272f3696aa5353a27480c71,0113430b0f045de18a60ab2135c747e0,Undirected,78,,,1
cec3d93a1e3533c78beaacc7e369aefb,29c6cc8a3d3ed33980c51e5a999f6c9a,Undirected,79,,,1
d9131d1e8f86ebc47f3f891a695900e8,29c6cc8a3d3ed33980c51e5a999f6c9a,Undirected,80,,,1
af6a995092da361954ed002dc01abf8e,0113430b0f045de18a60ab2135c747e0,Undirected,81,,,1
d21476fa6405cd5cbcf9606a79766fdb,7e8823f1a8b0a5ac89846a6600a1d036,Undirected,82,,,1
f8136696d7439aa53f17c503aaf7f4b4,806187f73f25813d999c0cec884b4511,Undirected,83,,,1
5c6fa14f30399fdcc06ecabf1b45cab2,806187f73f25813d999c0cec884b4511,Undirected,84,,,1
5cc8f8091d8e94173f54bef8a91fa02f,03b03246a0cac51acc9a8eb2c32c8c60,Undirected,85,,,1
d634186350f2f822c3f1789815ecf640,2139b9ea4d7449c735882b52bb4cba83,Undirected,86,,,1
c81d7586ce5ef283367f05a1d3640b7c,0456dd7a5ddd747d29aa549632ee859e,Undirected,87,,,1
d2eca368d798bbe80bcfaf6edc8a704f,ecfa16580cc6a45bd9c78802f00faab1,Undirected,88,,,1
66e60f88cb40d5825ea45ef2dc154865,250c80cef5fc24522cb4d0df0e2e94ae,Undirected,89,,,1
6991c3ba0c188b3f9af7d93f141da7a9,154802e7285346a32b129ed8d0e089db,Undirected,90,,,1
8553a3364059e2bc061194f440e45049,8402a96605f42ab157ea50aeb48a37c4,Undirected,91,,,1
ba7b28fa8ee23278e3144d92a9206935,ff0d5bb0fddad85be0286611a2afbace,Undirected,92,,,1
56013dcc251ccc8f074dc2ca3b57283c,51f997474100e8920d6001e9163521da,Undirected,93,,,1
09d626a1ae2e58e1cb8521f2039fb199,24b5926c43456bbdb8ef0a0f93ab67d9,Undirected,94,,,1
2560b6ff494370a525041810094adf68,ff0d5bb0fddad85be0286611a2afbace,Undirected,95,,,1
9a8b6914b0ad9be8cb00b6fe63712392,844d895ea09cd6206274448985c32d8d,Undirected,96,,,1
ae9edf79ed5353704e4d4e1e8ed4fed0,2dcc1ee68df47dc56ba3990f5347cf56,Undirected,97,,,1
56c41f92c5717ca482eabc84b2607ade,9c3ac23d78c95c7553c4fb9d69f622c8,Undirected,98,,,1
6fc36776f0e25f3d24c3b1f3c180f734,5d3b9fd28c29000bb947dfaf347fed27,Undirected,99,,,1
2540656a598c380ffbf74ff409bfafdb,62362ff764205e93bbfba3a5f613187b,Undirected,100,,,1
c1bf6148580d475baeb0abdbb5fe7d74,79517b6ec24ae79904243983df6fa8ba,Undirected,101,,,1
b24413a29829d1a062f958d4d2bd9e6e,cde76fb637afb3dc76541c635cf65eda,Undirected,102,,,1
49748bb0202c08899e382afea37dd2ff,2dcc1ee68df47dc56ba3990f5347cf56,Undirected,103,,,1
0d57d44981ecf171842015e40ae3403c,5d3b9fd28c29000bb947dfaf347fed27,Undirected,104,,,1
5f2f1604e9497fe8dc995b7fb249baca,9c3ac23d78c95c7553c4fb9d69f622c8,Undirected,105,,,1
2ee0d52a2b36a8fbba07ea3a76389b15,62362ff764205e93bbfba3a5f613187b,Undirected,106,,,1
